Load (GW)	Marginal Cost ($/MWh)
0	0.239520958
0.711111111	0.239520958
0.622222222	3.832335329
0.622222222	7.185628743
0.711111111	10.2994012
1.6	11.25748503
2.844444444	10.77844311
4.266666667	11.25748503
5.333333333	11.25748503
5.6	13.41317365
5.688888889	17.00598802
5.511111111	20.83832335
5.6	22.75449102
6.577777778	24.19161677
7.644444444	23.71257485
8.8	23.95209581
9.955555556	24.43113772
10.13333333	26.10778443
10.93333333	27.06586826
12	28.0239521
13.15555556	28.0239521
14.93333333	28.50299401
16	28.26347305
17.24444444	28.50299401
18.4	28.50299401
19.55555556	28.50299401
20.8	28.26347305
22.22222222	28.26347305
24.17777778	28.50299401
24.88888889	28.50299401
25.86666667	28.50299401
27.02222222	28.98203593
28	28.98203593
29.15555556	29.46107784
30.48888889	29.94011976
31.28888889	29.46107784
32.88888889	28.98203593
34.66666667	29.94011976
36.44444444	30.41916168
39.11111111	30.41916168
37.86666667	30.41916168
40.53333333	31.37724551
43.2	30.89820359
41.95555556	31.73652695
45.68888889	31.85628743
44.26666667	31.61676647
46.93333333	31.85628743
48.35555556	32.33532934
49.42222222	32.5748503
51.02222222	32.5748503
51.46666667	35.20958084
51.73333333	35.68862275
52.08888889	36.64670659
52.62222222	38.80239521
53.15555556	39.52095808
54.04444444	40.23952096
54.66666667	41.43712575
55.28888889	43.83233533
57.95555556	45.26946108
56.35555556	44.91017964
57.06666667	45.26946108
58.66666667	47.18562874
59.55555556	47.66467066
60.62222222	47.90419162
61.95555556	48.38323353
61.33333333	48.38323353
62.75555556	48.38323353
64.35555556	50.2994012
65.42222222	51.01796407
66.31111111	51.01796407
66.84444444	52.45508982
67.37777778	54.61077844
67.82222222	55.56886228
68.88888889	56.76646707
69.15555556	58.92215569
69.15555556	62.99401198
69.33333333	67.30538922
69.33333333	73.05389222
69.15555556	79.04191617
69.51111111	83.35329341
69.33333333	85.74850299
63.28888889	50.05988024
49.95555556	32.33532934
